hegel | Being-for-self is first immediately a being-for-self the One | Science of Logic
hegel | Abstract right is a bare possibility and as compared with the whole context of relationship is formal | Philosophy of Right
hegel | Morality is the truth of abstract right and the beginning of ethics | Philosophy of Right
hegel | Ethical life is the concept of freedom developed into the existing world | Philosophy of Right
hegel | Ethics is in essence the system of the rational determination of the will | Philosophy of Right
hegel | The family is one person represented by its head | Philosophy of Right
hegel | Marriage is essentially a monogamous relationship | Philosophy of Right
hegel | Love is the most tremendous contradiction which the understanding cannot resolve | Philosophy of Right
hegel | The family in its dissolution passes over into civil society | Philosophy of Right
hegel | The creation of civil society is the achievement of the modern world | Philosophy of Right
hegel | In civil society each member is his own end and everything else is nothing to him | Philosophy of Right
hegel | But except in contact with others he cannot attain the whole compass of his ends | Philosophy of Right
hegel | Other people are therefore means to the end of the particular member of civil society | Philosophy of Right
hegel | The concrete person who is himself the object of his particular aims is one of the principles of civil society | Philosophy of Right
hegel | Each particular person is essentially so related to other particular persons that each establishes himself and finds satisfaction by means of the others | Philosophy of Right
hegel | This is the system of needs | Philosophy of Right
hegel | Needs and their satisfaction appear in civil society in ever-increasing complexity | Philosophy of Right
hegel | The savage has no such needs as the civilized man but he also lacks his means of satisfaction | Philosophy of Right
hegel | Work transforms the raw material provided by nature into something useful for human needs | Philosophy of Right
hegel | Education in the absolute sense is the liberation of man and the work of attaining the higher liberation | Philosophy of Right
hegel | The practical education secured by work consists in the self-perpetuating need and habit of being occupied | Philosophy of Right
hegel | The division of labour increases the dependence and reciprocity of individuals | Philosophy of Right
hegel | The individual member of civil society is a private person whose end is his own interest | Philosophy of Right
hegel | Civil society affords a spectacle of extravagance and want as well as of the physical and ethical degeneration common to them both | Philosophy of Right
hegel | When civil society is in a state of unimpeded activity it is engaged in expanding internally in population and industry | Philosophy of Right
hegel | The police and the corporation are the two elements in civil society which mitigate its deficiencies | Philosophy of Right
hegel | Public freedom requires a formative activity which relates to universal interests | Philosophy of Right
hegel | In the corporation the family has its stable basis because its livelihood is assured | Philosophy of Right
hegel | The corporation mind is the truth of the particular interest which is concerned merely with external particularity | Philosophy of Right
hegel | Thought is the same negativity and the same transition from the determinate to the universal | Science of Logic
hegel | The truth of being is essence | Science of Logic
hegel | Being does not immediately perish in essence but first only goes into itself | Science of Logic
hegel | Essence is at first reflection within itself | Science of Logic
hegel | Identity is not abstract sameness but the self-relation of difference | Science of Logic
hegel | Difference is not merely the negation of identity but is essentially related to it | Science of Logic
hegel | The ground contains that which is grounded and the ground is ground only in so far as it grounds something | Science of Logic
hegel | Existence is the immediate unity of reflection-into-self and reflection-into-an-other | Science of Logic
hegel | The thing is the totality and in it the immediate determination of properties is sublated | Science of Logic
hegel | Substance is the absolute unity of actuality and possibility | Science of Logic
hegel | Causality presupposes the reciprocal independence of determinations which are yet at the same time inseparable | Science of Logic
hegel | Reciprocity is causality posited in its complete development | Science of Logic
hegel | The Notion is the realm of Subjectivity or of Freedom | Science of Logic
hegel | The Notion is the truth of Being and Essence | Science of Logic
hegel | The Notion is what is free and is for itself existing concept | Science of Logic
hegel | Judgment is the determining of the Notion by itself | Science of Logic
hegel | The syllogism is the truth of the judgment and therefore is the first and immediate form of the Notion | Science of Logic
hegel | Life is the Idea in its immediacy | Science of Logic
hegel | Cognition is the Idea for which the world of objectivity is still a presupposition | Science of Logic
hegel | The Absolute Idea is the identity of the theoretical and the practical idea | Science of Logic
hegel | Method is the consciousness of the form of the inner self-movement of the content of Logic | Science of Logic
hegel | The method is not an external form but the soul and notion of the content | Science of Logic
hegel | The Absolute Idea has shown itself to be the identity of the theoretical and the practical Idea each of which separately is still one-sided | Science of Logic
hegel | Spirit is the truth of soul and consciousness the former the simple immediate totality the latter now knowing itself | Encyclopaedia of the Philosophical Sciences
hegel | The soul is not immaterial merely in contrast to matter | Encyclopaedia of the Philosophical Sciences
hegel | Anthropology considers the soul in the forms of its natural determinations | Encyclopaedia of the Philosophical Sciences
hegel | The child is at first unconscious of its soul as a centre of unity | Encyclopaedia of the Philosophical Sciences
hegel | Habit is the mechanism of self-feeling as memory is the mechanism of intelligence | Encyclopaedia of the Philosophical Sciences
hegel | The habituated human being is physically in untroubled possession of his corporeity | Encyclopaedia of the Philosophical Sciences
hegel | The actual soul in its habituated corporeity is a single subject | Encyclopaedia of the Philosophical Sciences
hegel | Consciousness as such is the second grade in the development of mind | Encyclopaedia of the Philosophical Sciences
hegel | The progress from sense-certainty through perception to understanding is a dialectical movement | Encyclopaedia of the Philosophical Sciences
hegel | Self-consciousness is the truth of consciousness | Encyclopaedia of the Philosophical Sciences
hegel | Reason is the certainty of being all reality | Encyclopaedia of the Philosophical Sciences
hegel | In the form of theoretical mind spirit is in the element of universality | Encyclopaedia of the Philosophical Sciences
hegel | Intelligence is the finding and positing of determinations | Encyclopaedia of the Philosophical Sciences
hegel | Memory is the work of externalising representations making them things | Encyclopaedia of the Philosophical Sciences
hegel | Language is the existence of spirit and the embodiment of thought in sensuous form | Encyclopaedia of the Philosophical Sciences
hegel | The will is free when it has universality as the content of its resolve | Encyclopaedia of the Philosophical Sciences
hegel | Happiness is the reflected universality of desire | Encyclopaedia of the Philosophical Sciences
hegel | The free mind is actual free will | Encyclopaedia of the Philosophical Sciences
hegel | Art is the first mode of absolute spirit | Encyclopaedia of the Philosophical Sciences
hegel | Art is born of the spirit and born again | Encyclopaedia of the Philosophical Sciences
hegel | The work of art brings before us the eternal powers that govern history | Encyclopaedia of the Philosophical Sciences
hegel | Beauty is the Idea as the immediate unity of the concept with its reality | Encyclopaedia of the Philosophical Sciences
hegel | Revealed religion is the sphere in which the infinite content of the Idea becomes objective to itself | Encyclopaedia of the Philosophical Sciences
hegel | The absolute is spirit this is the supreme definition of the Absolute | Encyclopaedia of the Philosophical Sciences
hegel | Philosophy is thinking which brings to consciousness the Absolute | Encyclopaedia of the Philosophical Sciences
hegel | History is spirit clothing itself with the form of events | Encyclopaedia of the Philosophical Sciences
hegel | The history of philosophy is the history of thought coming to know itself | Encyclopaedia of the Philosophical Sciences
hegel | The history of philosophy is a temple of reason its heroes are the thinkers who have grasped the Idea | Lectures on the History of Philosophy
hegel | Every philosophy has been necessary and thus still is necessary and none has perished | Lectures on the History of Philosophy
hegel | The progress of philosophy is not a mere succession but a necessary development | Lectures on the History of Philosophy
hegel | Each philosophy is a development of the one eternal Idea | Lectures on the History of Philosophy
hegel | To be aware of limitations is already to be beyond them | Science of Logic
hegel | The spiritual alone is the actual and it enters into finite existence but does not thereby cease to be infinite | Science of Logic
hegel | The impulse of curiosity the pressure for knowledge arises only from the struggle to cancel the situation of unfreedom and to make the world one's own in thought | Lectures on the History of Philosophy
hegel | The ignorant man is not free because what confronts him is an alien world outside him and in the offing on which he depends | Lectures on the History of Philosophy
hegel | An idea is always a generalization and generalization is a property of thinking and to generalize means to think | Science of Logic
hegel | Philosophy in its nature is something esoteric neither made for the mob nor capable of being prepared for the mob | Early Writings
hegel | People who are too fastidious towards the finite never reach actuality but linger in abstraction and their light dies away | Science of Logic
hegel | Truth is found neither in the thesis nor in the antithesis but in an emergent synthesis which reconciles the two | Science of Logic
hegel | The length of the journey has to be borne with for every moment is necessary | Phenomenology of Spirit
hegel | History in general is therefore the development of Spirit in Time as Nature is the development of the Idea in Space | Philosophy of History
hegel | Art does not simply reveal God but it is one of the ways in which God reveals and thus actualizes himself | Lectures on Aesthetics
hegel | Spiritual culture and the modern intellect produces this opposition in man which makes him an amphibious animal | Lectures on Aesthetics
hegel | Art's vocation is to unveil the truth in the form of sensuous artistic configuration | Lectures on Aesthetics
hegel | The state of man's mind conforms precisely to the state of the world as he so far views it | Philosophy of History
hegel | If we go on to cast a look at the fate of world historical personalities we see that they had the misfortune to be the agents of the World Spirit | Philosophy of History
hegel | Thinking is always the negation of what we have immediately before us | Science of Logic
hegel | The forms of thought are first set out and stored in human language | Encyclopaedia of the Philosophical Sciences
hegel | World history is the progress of the consciousness of freedom a progress whose necessity we have to recognize | Philosophy of History
hegel | In Mohammedanism the narrow principle of the Jews is expanded into universality and thereby overcome | Philosophy of History
hegel | God is no longer regarded as existent in an immediately sensory way but is conceived as the one infinite power elevated above all the multiplicity of the world | Philosophy of History
hegel | Mohammedanism is therefore in the strictest sense of the word the religion of sublimity | Philosophy of History
